Date,tmr_high,tmr_low,y_hat_high,y_hat_low
2000-01-28,139.671875,135.0,138.64406360824012,134.34783805695974
2000-02-03,144.0,142.125,143.98689434209126,141.62330176868832
2000-02-07,144.5625,143.625,143.4377809240866,141.8484977509701
2000-02-10,141.9375,138.03125,142.04995959250715,140.20654457353788
2000-02-14,141.21875,137.796875,140.1407077201245,137.7687752300897
2000-02-18,136.34375,133.53125,137.17705174079737,133.35630470852337
2000-02-23,137.03125,133.09375,137.82127814773435,135.60792743202015
2000-02-24,136.71875,133.125,136.44087736542082,132.89981512347646
2000-02-29,139.0,137.21875,138.81227876347066,136.14938478851954
2000-03-02,141.71875,139.71875,138.9105779982684,136.5389397064505
2000-03-03,141.34375,138.75,142.1184104859343,138.83618256979724
2000-03-06,140.15625,135.21875,141.3711442565303,138.05047514184906
2000-03-20,149.75,144.5,147.52236807678872,145.16844430860766
2000-03-22,153.46875,149.15625,150.49603809798708,147.5342706883614
2000-03-24,153.78125,151.8125,154.34775719784938,151.88828402244022
